accelerate	global-runtime/accelerate/SKILL.md	/home/marcelo-karval/.codex/skills/accelerate/SKILL.md	99178733461d6332382b20371eaf2915cbf430ade1230f4b7797c96193f7545b	Use as the always-on runtime root for engineering work to classify trivial vs non-trivial execution, then route into the correct bounded or orchestrated workflow.
adminjs-patterns	skills/backend/adminjs-patterns/SKILL.md	/home/marcelo-karval/.codex/skills/adminjs-patterns/SKILL.md	0a396091a7d59cfebb25ddb5750223a1e3071b8526cf027a1693ed188b88ba09	AdminJS admin/operator dashboard patterns for resources, actions, authorization, masking, audit posture, and runtime proof.
adonisjs-patterns	skills/backend/adonisjs-patterns/SKILL.md	/home/marcelo-karval/.codex/skills/adonisjs-patterns/SKILL.md	a781765cb1477c1a94c21b1c80b1bf15c768a72782c15052483aeea17ed2f767	AdonisJS backend patterns for backend truth, controllers, services, VineJS validation, Lucid migrations, auth, security, and tests.
adversarial-security-review	skills/security/adversarial-security-review/SKILL.md	/home/marcelo-karval/.codex/skills/adversarial-security-review/SKILL.md	f06f1be50806eb9a8e68d558700ab96c26f52c28015d595e2fc20d2f989ed8bf	Codex-native evidence-first adversarial security review covering hostile-path analysis, variant hunting, and issue-oriented hardening without vulnerability theater.
anti-abuse-review	skills/security/anti-abuse-review/SKILL.md	/home/marcelo-karval/.codex/skills/anti-abuse-review/SKILL.md	416913cb8ff84812d62625fb00cd77176c2bbc000f9969e649d7b66dd0ee0dfa	Use when implementing or reviewing auth, session, OTP, billing, export, deletion, upload, list, search, settings, or other user-driven flows that could be spammed, enumerated, replayed, bypassed, raced, or otherwise misused.
api-surface-governance	skills/governance/api-surface-governance/SKILL.md	/home/marcelo-karval/.codex/skills/api-surface-governance/SKILL.md	e64bcabee2f2bade46e4947bae122cb7505e6664544593441efecc706db3ed2a	Codex-native governance for choosing between Inertia, REST exceptions, GraphQL preparation, webhooks, callbacks, and other integration surfaces.
apply-design-system-contract	skills/design-system/apply-design-system-contract/SKILL.md	/home/marcelo-karval/.codex/skills/apply-design-system-contract/SKILL.md	b5f9e215b49777224d25c5454a7567027523ee7f94082c5c0e53c9cbff527fb3	Use when existing docs/reference design-system artifacts must drive UI implementation, correction, improvement, premium recomposition, or new-screen generation in a new or existing project.
architecture	skills/review/architecture/SKILL.md	/home/marcelo-karval/.codex/skills/architecture/SKILL.md	ac53fd899fbf61de88c9a253474be9db6d4416215ff7d5aee95ebff6f8059c3a	Use when software work requires architectural judgment about structure, ownership, trade-offs, boundaries, migration, or ADR-worthy decisions rather than direct implementation only.
ascii-wireframe	skills/frontend/ascii-wireframe/SKILL.md	/home/marcelo-karval/.codex/skills/ascii-wireframe/SKILL.md	1988d824a8b453f5e91b70ca9f6c10a893fca02b9fe528d79fb10747ef3bc495	Codex-native high-fidelity ASCII wireframe and diagram skill for UI proposals, modal reviews, flows, and architecture sketches. Use whenever the task benefits from a visual artifact, not just textual explanation.
authjs-patterns	skills/security/authjs-patterns/SKILL.md	/home/marcelo-karval/.codex/skills/authjs-patterns/SKILL.md	d38e00cb0580951604174eccff76a84b83bbde82043efb3daeff4b1d908a50fb	Optional Auth.js guidance for Next.js fullstack profiles, covering server-side session checks, handlers, callbacks, adapters, and provider-safe auth proof.
authorization-policy-patterns	skills/security/authorization-policy-patterns/SKILL.md	/home/marcelo-karval/.codex/skills/authorization-policy-patterns/SKILL.md	2d01ba758ed085f6d0d7d441e823be96042db0d1521952b7fb31bda1b4a40d82	Stack-neutral authorization policy guidance for Next.js fullstack data profiles, separating authentication from RBAC, ABAC, ownership, tenancy, and UI visibility.
